"Collection Name","Title#1","Name#1","Name#2","Name#3","Name#4","Type of Resource#1","Genre#1","Place Term#1","Publisher#1","Date Created#1","Abstract#1","Subject Topic#1","Subject Topic#2","Subject Topic#3","Subject Topic#4","Subject Topic#5","Subject Topic#6","Subject Topic#7","Subject Topic#8","Identifier#1","Physical Location#1","Shelf Locator#1","Access Condition#1","lnexp_MEDIAFILENAME","lnexp_PAGEURL","lnexp_IMAGEURL:1"
"Clifford P. and Therese S. Westermeier Collection","Johnny Judd trick roping","Jones; photographer","Judd, Johnny; performer","","","still images","Photographic postcards","New Mexico--Las Vegas","","","Rodeo performer Johnny Judd jumping through a spinning rope, at the Cowboy Reunion Rodeo","Rodeos","Rodeo performers","Trick roping","","","","","","narv_westermeier_31_12_B4.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 12, Photo B4","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_31_12_B4.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~702~224085","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_31_12_B4.jpg"
"Clifford P. and Therese S. Westermeier Collection","Johnny Spain and Jack Hoxie","Brininstool, E. A. (Earl Alonzo), 1870-1957; photographer","Spain, Johnny; performer","Hoxie, Jack; performer","","still images","Photographic postcards","","","1912","Rodeo performers Johnny Spain and Jack Hoxie standing and laughing with a horse","Rodeos","Rodeo performers","","","","","","","narv_westermeier_44_Book1_CJ.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 1, Photo CJ","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_44_Book1_CJ.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~703~223896","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_44_Book1_CJ.jpg"
"Clifford P. and Therese S. Westermeier Collection","Laurette Schrimpf riding bronco","Schrimpf, Laurette; performer","","","","still images","Photographic postcards","Oregon--Pendleton","Pendleton Drug Co.","","Rodeo performer Laurette Schrimpf seen from behind riding bronco, Brandy","Cowgirls","Rodeos","Women rodeo performers","Women in rodeos","Bronco Riding","","","","narv_westermeier_31_05_A1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 5, Photo A1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_31_05_A1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~704~224139","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_31_05_A1.jpg"
"Clifford P. and Therese S. Westermeier Collection","Lee Caldwell riding bronco","Marcell; photographer","Caldwell, Lee; performer","","","still images","Photographic postcards","Montana--Miles City","","1914","Rodeo performer Lee Caldwell riding bucking bronco","Rodeos","Rodeo performers","Bronco Riding","","","","","","narv_westermeier_31_06_I1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 6, Photo I1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_31_06_I1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~705~224122","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_31_06_I1.jpg"
"Clifford P. and Therese S. Westermeier Collection","Leo Karstad fallen from bronco","Brown; photographer","Karsad, Leo; performer","","","still images","Photographic postcards","","","","Rodeo performer Leo Karstad fallen from bronco","Rodeos","Rodeo performers","Bronco Riding","","","","","","narv_westermeier_31_07_G6.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 7, Photo G6","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_31_07_G6.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~706~224108","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_31_07_G6.jpg"
"Clifford P. and Therese S. Westermeier Collection","Leo Karstad riding bronco","Brown; photographer","Karsad, Leo; performer","","","still images","Photographic postcards","","","","Rodeo performer Leo Karstad riding bronco","Rodeos","Rodeo performers","Bronco Riding","","","","","","narv_westermeier_31_07_G5.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 7, Photo G5","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_31_07_G5.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~707~224109","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_31_07_G5.jpg"
"Clifford P. and Therese S. Westermeier Collection","Leonard and Mayme Stroud and group in decorated car","Stroud, Mayme; performer","Stroud, Leonard; performer","","","still images","Photographic postcards","","","","Husband and wife rodeo performers Leonard and Mayme Stroud posing with a group in a car. A large steer head on the front of the car, and a large bird statue inside.","Women rodeo performers","Women in rodeos","Rodeo performers","Automobiles","","","","","narv_westermeier_32_01_B2.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 32, Fd 1, B2","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_32_01_B2.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~708~224040","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_32_01_B2.jpg"
"Clifford P. and Therese S. Westermeier Collection","Leonard and Mayme Stroud in roman stand race","Stroud, Mayme; performer","Stroud, Leonard; performer","","","still images","Photographic postcards","","","","Rodeo performers Leonard and Mayme Stroud in roman stand race with another man, Mason","Cowgirls","Rodeos","Women rodeo performers","Women in rodeos","Rodeo performers","Rodeos","Trick riding","Racing","narv_westermeier_37_04_G19.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 37, Fd 4, Photo G19","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_37_04_G19.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~709~223910","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_37_04_G19.jpg"
"Clifford P. and Therese S. Westermeier Collection","Leonard and Mayme Stroud in roman stand race","Stroud, Mayme; performer","","","","still images","Photographic postcards","","","","Rodeo performers Leonard and Mayme Stroud in roman stand race with another man in rodeo arena ","Cowgirls","Women rodeo performers","Women in rodeos","Rodeo performers","Rodeos","Trick riding","Racing","","narv_westermeier_32_01_A12.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 32, Fd 1, Photo A12","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_32_01_A12.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~710~224046","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_32_01_A12.jpg"
"Clifford P. and Therese S. Westermeier Collection","Leonard and Mayme Stroud jumping horses over hurdles","Stroud, Leonard; performer","Stroud, Mayme; performer","","","still images","Photographic postcards","","","","Husband and wife rodeo performers Leonard and Mayme Stroud jumping horses over hurdles ","Cowgirls","Women rodeo performers","Women in rodeos","Rodeos","Rodeo performers","Rodeo Animals","Horses","Jumping (Horsemanship)","narv_westermeier_37_04_G20.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 37, Fd 4, Photo G20","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_37_04_G20.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~711~223909","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_37_04_G20.jpg"
