"Collection Name","Title#1","Name#1","Name#2","Name#3","Name#4","Type of Resource#1","Genre#1","Place Term#1","Publisher#1","Date Created#1","Abstract#1","Subject Topic#1","Subject Topic#2","Subject Topic#3","Subject Topic#4","Subject Topic#5","Subject Topic#6","Subject Topic#7","Subject Topic#8","Identifier ARK#1","Identifier#2","Physical Location#1","Shelf Locator#1","Access Condition#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Clifford P. and Therese S. Westermeier Collection","Bronco rolling on rider","","","","","still image","Photographic postcards","Alberta--Calgary","","","Bronco and unidentified rodeo performer both fallen during Calgary Stampede rodeo","Rodeos","Rodeo performers","Bronco riding","","","","","","https://ark.colorado.edu/ark:/47540/nw0q641120v7","narv_westermeier_31_03_A4.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 3, Photo A4","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","637","224143","4858","narv_westermeier_31_03_A4.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~637~224143"
"Clifford P. and Therese S. Westermeier Collection","Bronco, Cyclone, throwing a rider","Marcell; photographer","","","","still image","Photographic postcards","Oregon--Pendleton","","1912","Unidentified rodeo performer falling over the head of bronco, Cyclone. Caption reads, ""Good-bye, Cyclone, I must leave you.""","Rodeos","Rodeo performers","Bronco riding","","","","","","https://ark.colorado.edu/ark:/47540/70733f54n772","narv_westermeier_44_Book1_BS.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 1, Photo BS","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","638","223901","4858","narv_westermeier_44_Book1_BS.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~638~223901"
"Clifford P. and Therese S. Westermeier Collection","Buddy Mefford trick roping","Mefford, Buddy; performer","","","","still image","Photographic postcards","Iowa--Marshalltown","Smith Studio","","Rodeo performer Buddy Mefford trick roping","Rodeos","Rodeo performers","Trick roping","","","","","","https://ark.colorado.edu/ark:/47540/hv3m967188nj","narv_westermeier_31_12_D2.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 12, Photo D2","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","639","224080","4858","narv_westermeier_31_12_D2.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~639~224080"
"Clifford P. and Therese S. Westermeier Collection","Buffalo Brady bulldogging","Doubleday, R.R.; photographer","Brady, Buffalo; performer","","","still image","Photographic postcards","South Dakota--Belle Fourche","","","Rodeo performer Buffalo Brady on ground after wrestling a steer at the Black Hills Roundup","Rodeos","Rodeo performers","Steer wrestling","","","","","","https://ark.colorado.edu/ark:/47540/hc34212187b2","narv_westermeier_31_09_C4.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 9, Photo C4","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","640","224099","4858","narv_westermeier_31_09_C4.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~640~224099"
"Clifford P. and Therese S. Westermeier Collection","Calf roper at Calgary Stampede","","","","","still image","Photographic postcards","Alberta--Calgary","","","Unidentified rodeo performer roping a calf","Rodeos","Rodeo performers","Calf roping","","","","","","https://ark.colorado.edu/ark:/47540/zd5j4d97x2tv","narv_westermeier_31_03_C6.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 3, Photo C6","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","641","224140","4858","narv_westermeier_31_03_C6.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~641~224140"
"Clifford P. and Therese S. Westermeier Collection","Calf roper at Calgary Stampede","","","","","still image","Photographic postcards","Alberta--Calgary","","","Unidentified rodeo performer roping a calf","Rodeos","Rodeo performers","Calf roping","","","","","","https://ark.colorado.edu/ark:/47540/xj087477f7rp","narv_westermeier_31_03_C4.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 3, Photo C4","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","642","224141","4858","narv_westermeier_31_03_C4.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~642~224141"
"Clifford P. and Therese S. Westermeier Collection","Carl Dossey steer wrestling","Devere; photographer","","","","still image","Photographic postcards","Washington--Ellensburg","","1949","Rodeo performer Carl Dossey wrestling a steer","Rodeos","Rodeo performers","","","","","","","https://ark.colorado.edu/ark:/47540/21337d69132d","narv_westermeier_29_18_A1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 29, Fd 18, Photo A1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","925","224149","4858","narv_westermeier_29_18_A1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~925~224149"
"Clifford P. and Therese S. Westermeier Collection","Chester Byers trick roping","Doubleday, R.R.; photographer","Byers, Chester; performer","","","still image","Photographic postcards","","","","Rodeo performer Chester Byers trick roping","Rodeos","Rodeo performers","Trick roping","","","","","","https://ark.colorado.edu/ark:/47540/4q9g873230bq","narv_westermeier_31_12_B2.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 12, Photo B2","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","643","224087","4858","narv_westermeier_31_12_B2.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~643~224087"
"Clifford P. and Therese S. Westermeier Collection","Chester Byers trick roping","Doubleday, R.R.; photographer","Byers, Chester; performer","","","still image","Photographic postcards","","","","Rodeo performer Chester Byers with two ropes","Rodeos","Rodeo performers","Trick roping","","","","","","https://ark.colorado.edu/ark:/47540/dv228v2629jb","narv_westermeier_31_12_B1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 12, Photo B1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","644","224088","4858","narv_westermeier_31_12_B1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~644~224088"
"Clifford P. and Therese S. Westermeier Collection","Chuck Wagon race","","","","","still image","Photographic postcards","Alberta--Calgary","","","Chuck wagon race at the Calgary Stampede","Rodeos","Chuckwagon racing","","","","","","","https://ark.colorado.edu/ark:/47540/ft700262z8fm","narv_westermeier_31_03_A1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 3, Photo A1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","645","224145","4858","narv_westermeier_31_03_A1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~645~224145"
"Clifford P. and Therese S. Westermeier Collection","Chuck Wagon spill","","","","","still image","Photographic postcards","Alberta--Calgary","","","Horse and wagon falling during chuck wagon race at the Calgary Stampede","Rodeos","Chuckwagon racing","","","","","","","https://ark.colorado.edu/ark:/47540/483n4413045j","narv_westermeier_31_03_B5.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 3, Photo B5","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","646","224142","4858","narv_westermeier_31_03_B5.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~646~224142"
"Clifford P. and Therese S. Westermeier Collection","Circus arena after a storm","","","","","still image","Photographic postcards","Illinois--Freeport","","1911","Circus tent from Sells-Floto Circus after being blown down in a storm","Circus","","","","","","","","https://ark.colorado.edu/ark:/47540/k3026c79315n","narv_westermeier_35_04_O1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 35, Fd 4, Photo O1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","647","223970","4858","narv_westermeier_35_04_O1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~647~223970"
"Clifford P. and Therese S. Westermeier Collection","Clara Mellnot on horseback","Mellnot, Clara; performer","","","","still image","Photographic postcards","","","","Circus performer Clara Mellnot in fancy riding costume, on horseback, in front of circus tent","Women circus performers","Horses","","","","","","","https://ark.colorado.edu/ark:/47540/dr053435x2jc","narv_westermeier_35_04_R3.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 35, Fd 4, Photo R3","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","648","224287","4858","narv_westermeier_35_04_R3.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~648~224287"
"Clifford P. and Therese S. Westermeier Collection","Cow with Sells-Floto Circus wagon","","","","","still image","Photographic postcards","","","","Cow standing in from of Sells Floto Circus wagon","Circus","Circus animals","Circus wagons","","","","","","https://ark.colorado.edu/ark:/47540/tg2j5q49w27v","narv_westermeier_35_04_B1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 35, Fd 4, Photo B1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","649","223975","4858","narv_westermeier_35_04_B1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~649~223975"
